wikidata;type
Q7159;regorg
Q7172;regorg
Q7768;regorg
Q776874;regorg
Q170481;regorg
Q1147937;regorg
Q795985;regorg
Q2655795;regorg
Q96053693;regorg
Q205995;regorg
Q190028;regorg
Q7779;regorg
Q7785;regorg
Q1045401;regorg
Q8908;regorg
Q20036753;regorg
Q337456;regorg
Q193272;regorg
Q225950;regorg
Q4173083;regorg
Q458;regorg
Q62005941;regorg
Q326816;regorg
Q217172;regorg
Q2297691;regorg
Q499151;regorg
Q97994672;regorg
Q1918937;regorg
Q4264;regorg
Q7184;regorg
Q146165;regorg
Q123759;regorg
Q757276;regorg
Q3117794;regorg
Q11523819;regorg
Q485207;regorg
Q145700;regorg
Q3935730;regorg
Q32069506;regorg
Q13231715;regorg
Q596850;regorg
Q4230;regorg
Q244323;regorg
Q1642145;regorg
