"wikidata";"tokens";"type"
"Q15";"afrique";"cont"
"Q828";"amérique";"cont"
"Q48";"asie";"cont"
"Q46";"europe";"cont"
"Q538";"océanie";"cont"
"Q51";"antarctique";"cont"
"Q5401";"eurasie";"cont"
"Q60140";"sous-continent indien";"cont"
"Q27433";"afrique centrale";"cont"
"Q27407";"afrique de l est";"cont"
"Q27381";"afrique du nord";"cont"
"Q4412";"afrique de l ouest";"cont"
"Q210682";"afrique occidentale française";"cont"
"Q132959";"afrique subsaharienne";"cont"
"Q27394";"afrique australe";"cont"
"Q27611";"amérique centrale";"cont"
"Q12585";"amérique latine";"cont"
"Q49";"amérique du nord";"cont"
"Q2017699";"amérique septentrionale";"cont"
"Q18";"amérique du sud";"cont"
"Q27275";"asie centale";"cont"
"Q27231";"asie orientale";"cont"
"Q12824780";"asie mineure";"cont"
"Q27293";"asie occidentale";"cont"
"Q771405";"asie du sud";"cont"
"Q11708";"asie du sud est";"cont"
"Q27509";"europe centrale";"cont"
"Q900636";"europe centre orientale";"cont"
"Q16389571";"europe mediane";"cont"
"Q27468";"europe de l est";"cont"
"Q27479";"europe du nord";"cont"
"Q27496";"europe de l ouest";"cont"
"Q27449";"europe du sud";"cont"
"Q263686";"europe du sud-est";"cont"
"Q66065";"sahel";"land"
"Q6583";"sahara";"land"
"Q2841453";"amazonie";"land"
"Q5456";"andes";"land"
"Q1286";"les alpes";"land"
"Q5463";"rocheuses";"land"
"Q18869";"caucase";"land"
"Q5451";"himalaya";"land"
"Q23522";"balkans";"land"
"Q503282";"machrek";"land"
"Q28227";"maghreb";"land"
"Q7204";"moyen orient";"land"
"Q48214";"proche orient";"land"
"Q21195";"scandinavie";"land"
"Q664609";"caraïbes";"sea"
"Q166131";"les antilles";"sea"
"Q93259";"petites antilles";"sea"
"Q128011";"grandes antilles";"sea"
"Q37394";"mélanésie";"sea"
"Q35942";"polynésie";"sea"
"Q3359409";"micronésie";"sea"
"Q97";"ocean atlantique";"sea"
"Q98";"ocean pacifique";"sea"
"Q1239";"ocean indien";"sea"
"Q37660";"mer de chine méridionale";"sea"
"Q45341";"mer de chine orientale";"sea"
"Q4918";"méditerranée";"sea"
"Q34675";"golfe persique";"sea"
"Q166";"Mer Noire";"sea"
"Q25322";"arctique";"sea"
"Q1070940";"asie pacifique";"xxx"
"Q2271241";"euroméditerranée";"xxx"
