wikidata;type
Q15;cont
Q828;cont
Q48;cont
Q46;cont
Q538;cont
Q51;cont
Q5401;cont
Q60140;cont
Q27433;cont
Q27407;cont
Q27381;cont
Q4412;cont
Q210682;cont
Q132959;cont
Q27394;cont
Q27611;cont
Q12585;cont
Q49;cont
Q2017699;cont
Q18;cont
Q27275;cont
Q27231;cont
Q12824780;cont
Q27293;cont
Q771405;cont
Q11708;cont
Q27509;cont
Q900636;cont
Q16389571;cont
Q27468;cont
Q27479;cont
Q27496;cont
Q27449;cont
Q263686;cont
Q66065;land
Q6583;land
Q2841453;land
Q5456;land
Q1286;land
Q5463;land
Q18869;land
Q5451;land
Q23522;land
Q503282;land
Q28227;land
Q7204;land
Q48214;land
Q21195;land
Q664609;sea
Q166131;sea
Q93259;sea
Q128011;sea
Q37394;sea
Q35942;sea
Q3359409;sea
Q97;sea
Q98;sea
Q1239;sea
Q37660;sea
Q45341;sea
Q4918;sea
Q34675;sea
Q166;sea
Q25322;sea
Q1070940;sea
Q2271241;sea
Q7159;regorg
Q7172;regorg
Q7768;regorg
Q776874;regorg
Q170481;regorg
Q1147937;regorg
Q795985;regorg
Q2655795;regorg
Q96053693;regorg
Q205995;regorg
Q190028;regorg
Q7779;regorg
Q7785;regorg
Q1045401;regorg
Q8908;regorg
Q20036753;regorg
Q337456;regorg
Q193272;regorg
Q225950;regorg
Q4173083;regorg
Q458;regorg
Q62005941;regorg
Q326816;regorg
Q217172;regorg
Q2297691;regorg
Q499151;regorg
Q97994672;regorg
Q1918937;regorg
Q4264;regorg
Q7184;regorg
Q146165;regorg
Q123759;regorg
Q757276;regorg
Q3117794;regorg
Q11523819;regorg
Q485207;regorg
Q145700;regorg
Q3935730;regorg
Q32069506;regorg
Q13231715;regorg
Q596850;regorg
Q4230;regorg
Q244323;regorg
Q1642145;regorg
